cl_target,reg_target,path
1,10.0,-0.016071809455752373__CYGNO_60_40_ER_10_keV_930V_30cm_IDAO_iso_crop_hist_pic_run1_ev563;1.png
1,10.0,-0.016148153692483902__CYGNO_60_40_ER_10_keV_930V_30cm_IDAO_iso_crop_hist_pic_run2_ev594;1.png
1,30.0,-0.01687307469546795__CYGNO_60_40_ER_30_keV_930V_30cm_IDAO_iso_crop_hist_pic_run4_ev500;1.png
1,30.0,-0.017179429531097412__CYGNO_60_40_ER_30_keV_930V_30cm_IDAO_iso_crop_hist_pic_run2_ev853;1.png
1,10.0,-0.01735062524676323__CYGNO_60_40_ER_10_keV_930V_30cm_IDAO_iso_crop_hist_pic_run2_ev635;1.png
1,3.0,-0.017399940639734268__CYGNO_60_40_ER_3_keV_930V_30cm_IDAO_iso_crop_hist_pic_run4_ev831;1.png
1,10.0,-0.017457688227295876__CYGNO_60_40_ER_10_keV_930V_30cm_IDAO_iso_crop_hist_pic_run1_ev620;1.png
1,3.0,-0.01748593896627426__CYGNO_60_40_ER_3_keV_930V_30cm_IDAO_iso_crop_hist_pic_run2_ev753;1.png
1,30.0,-0.017755402252078056__CYGNO_60_40_ER_30_keV_930V_30cm_IDAO_iso_crop_hist_pic_run2_ev420;1.png
1,3.0,-0.019146278500556946__CYGNO_60_40_ER_3_keV_930V_30cm_IDAO_iso_crop_hist_pic_run4_ev887;1.png
1,3.0,-0.01979830116033554__CYGNO_60_40_ER_3_keV_930V_30cm_IDAO_iso_crop_hist_pic_run3_ev838;1.png
1,30.0,-0.02016848511993885__CYGNO_60_40_ER_30_keV_930V_30cm_IDAO_iso_crop_hist_pic_run5_ev122;1.png
1,30.0,-0.02063893713057041__CYGNO_60_40_ER_30_keV_930V_30cm_IDAO_iso_crop_hist_pic_run4_ev534;1.png
1,30.0,-0.0212510097771883__CYGNO_60_40_ER_30_keV_930V_30cm_IDAO_iso_crop_hist_pic_run2_ev150;1.png
1,10.0,-0.021928340196609497__CYGNO_60_40_ER_10_keV_930V_30cm_IDAO_iso_crop_hist_pic_run1_ev860;1.png
1,3.0,-0.022606203332543373__CYGNO_60_40_ER_3_keV_930V_30cm_IDAO_iso_crop_hist_pic_run2_ev475;1.png
1,30.0,-0.02293001301586628__CYGNO_60_40_ER_30_keV_930V_30cm_IDAO_iso_crop_hist_pic_run4_ev552;1.png
1,10.0,-0.023109635338187218__CYGNO_60_40_ER_10_keV_930V_30cm_IDAO_iso_crop_hist_pic_run5_ev329;1.png
1,30.0,-0.024737264961004257__CYGNO_60_40_ER_30_keV_930V_30cm_IDAO_iso_crop_hist_pic_run5_ev252;1.png
1,30.0,-0.02503816969692707__CYGNO_60_40_ER_30_keV_930V_30cm_IDAO_iso_crop_hist_pic_run4_ev536;1.png
1,10.0,-0.025121111422777176__CYGNO_60_40_ER_10_keV_930V_30cm_IDAO_iso_crop_hist_pic_run4_ev506;1.png
1,10.0,-0.025222457945346832__CYGNO_60_40_ER_10_keV_930V_30cm_IDAO_iso_crop_hist_pic_run1_ev567;1.png
1,30.0,-0.026228491216897964__CYGNO_60_40_ER_30_keV_930V_30cm_IDAO_iso_crop_hist_pic_run3_ev896;1.png
1,3.0,-0.02662685327231884__CYGNO_60_40_ER_3_keV_930V_30cm_IDAO_iso_crop_hist_pic_run2_ev222;1.png
1,10.0,-0.02733139880001545__CYGNO_60_40_ER_10_keV_930V_30cm_IDAO_iso_crop_hist_pic_run4_ev913;1.png
1,3.0,-0.028106113895773888__CYGNO_60_40_ER_3_keV_930V_30cm_IDAO_iso_crop_hist_pic_run4_ev921;1.png
1,30.0,-0.028247034177184105__CYGNO_60_40_ER_30_keV_930V_30cm_IDAO_iso_crop_hist_pic_run1_ev850;1.png
1,10.0,-0.0294750165194273__CYGNO_60_40_ER_10_keV_930V_30cm_IDAO_iso_crop_hist_pic_run5_ev425;1.png
1,30.0,-0.030056726187467575__CYGNO_60_40_ER_30_keV_930V_30cm_IDAO_iso_crop_hist_pic_run2_ev399;1.png
1,10.0,-0.03068673238158226__CYGNO_60_40_ER_10_keV_930V_30cm_IDAO_iso_crop_hist_pic_run2_ev892;1.png
1,3.0,-0.03175373747944832__CYGNO_60_40_ER_3_keV_930V_30cm_IDAO_iso_crop_hist_pic_run1_ev421;1.png
1,10.0,-0.03286195918917656__CYGNO_60_40_ER_10_keV_930V_30cm_IDAO_iso_crop_hist_pic_run3_ev301;1.png
1,30.0,-0.034648627042770386__CYGNO_60_40_ER_30_keV_930V_30cm_IDAO_iso_crop_hist_pic_run1_ev605;1.png
1,3.0,-0.035280730575323105__CYGNO_60_40_ER_3_keV_930V_30cm_IDAO_iso_crop_hist_pic_run3_ev397;1.png
1,10.0,-0.03557555004954338__CYGNO_60_40_ER_10_keV_930V_30cm_IDAO_iso_crop_hist_pic_run3_ev928;1.png
1,3.0,-0.03574705123901367__CYGNO_60_40_ER_3_keV_930V_30cm_IDAO_iso_crop_hist_pic_run3_ev392;1.png
1,3.0,-0.03716079518198967__CYGNO_60_40_ER_3_keV_930V_30cm_IDAO_iso_crop_hist_pic_run2_ev316;1.png
1,30.0,-0.03762701898813248__CYGNO_60_40_ER_30_keV_930V_30cm_IDAO_iso_crop_hist_pic_run5_ev300;1.png
1,30.0,-0.0378204770386219__CYGNO_60_40_ER_30_keV_930V_30cm_IDAO_iso_crop_hist_pic_run3_ev906;1.png
1,10.0,-0.038489241153001785__CYGNO_60_40_ER_10_keV_930V_30cm_IDAO_iso_crop_hist_pic_run3_ev353;1.png
1,10.0,-0.03852894529700279__CYGNO_60_40_ER_10_keV_930V_30cm_IDAO_iso_crop_hist_pic_run4_ev658;1.png
1,10.0,-0.038839470595121384__CYGNO_60_40_ER_10_keV_930V_30cm_IDAO_iso_crop_hist_pic_run3_ev350;1.png
1,30.0,-0.03914535790681839__CYGNO_60_40_ER_30_keV_930V_30cm_IDAO_iso_crop_hist_pic_run1_ev303;1.png
1,3.0,-0.03984905034303665__CYGNO_60_40_ER_3_keV_930V_30cm_IDAO_iso_crop_hist_pic_run5_ev891;1.png
1,10.0,-0.04006881266832352__CYGNO_60_40_ER_10_keV_930V_30cm_IDAO_iso_crop_hist_pic_run4_ev911;1.png
1,3.0,-0.04037483036518097__CYGNO_60_40_ER_3_keV_930V_30cm_IDAO_iso_crop_hist_pic_run4_ev553;1.png
1,30.0,-0.04064568132162094__CYGNO_60_40_ER_30_keV_930V_30cm_IDAO_iso_crop_hist_pic_run1_ev950;1.png
1,30.0,-0.0407169945538044__CYGNO_60_40_ER_30_keV_930V_30cm_IDAO_iso_crop_hist_pic_run1_ev267;1.png
1,3.0,-0.041835978627204895__CYGNO_60_40_ER_3_keV_930V_30cm_IDAO_iso_crop_hist_pic_run5_ev648;1.png
1,30.0,-0.04213852062821388__CYGNO_60_40_ER_30_keV_930V_30cm_IDAO_iso_crop_hist_pic_run4_ev558;1.png
1,30.0,-0.042161937803030014__CYGNO_60_40_ER_30_keV_930V_30cm_IDAO_iso_crop_hist_pic_run4_ev508;1.png
1,3.0,-0.042696513235569__CYGNO_60_40_ER_3_keV_930V_30cm_IDAO_iso_crop_hist_pic_run4_ev854;1.png
1,3.0,-0.04298282414674759__CYGNO_60_40_ER_3_keV_930V_30cm_IDAO_iso_crop_hist_pic_run1_ev350;1.png
1,10.0,-0.04308192431926727__CYGNO_60_40_ER_10_keV_930V_30cm_IDAO_iso_crop_hist_pic_run4_ev438;1.png
1,30.0,-0.043159253895282745__CYGNO_60_40_ER_30_keV_930V_30cm_IDAO_iso_crop_hist_pic_run5_ev511;1.png
1,30.0,-0.04408372938632965__CYGNO_60_40_ER_30_keV_930V_30cm_IDAO_iso_crop_hist_pic_run3_ev796;1.png
1,30.0,-0.04421380162239075__CYGNO_60_40_ER_30_keV_930V_30cm_IDAO_iso_crop_hist_pic_run3_ev924;1.png
1,3.0,-0.044471416622400284__CYGNO_60_40_ER_3_keV_930V_30cm_IDAO_iso_crop_hist_pic_run2_ev932;1.png
1,10.0,-0.04505829140543938__CYGNO_60_40_ER_10_keV_930V_30cm_IDAO_iso_crop_hist_pic_run3_ev709;1.png
1,3.0,-0.04544195532798767__CYGNO_60_40_ER_3_keV_930V_30cm_IDAO_iso_crop_hist_pic_run5_ev638;1.png
1,30.0,-0.04636072367429733__CYGNO_60_40_ER_30_keV_930V_30cm_IDAO_iso_crop_hist_pic_run2_ev217;1.png
1,10.0,-0.04684486985206604__CYGNO_60_40_ER_10_keV_930V_30cm_IDAO_iso_crop_hist_pic_run1_ev357;1.png
1,10.0,-0.04768684133887291__CYGNO_60_40_ER_10_keV_930V_30cm_IDAO_iso_crop_hist_pic_run2_ev629;1.png
1,30.0,-0.04873400181531906__CYGNO_60_40_ER_30_keV_930V_30cm_IDAO_iso_crop_hist_pic_run1_ev820;1.png
1,3.0,-0.04915721341967583__CYGNO_60_40_ER_3_keV_930V_30cm_IDAO_iso_crop_hist_pic_run2_ev780;1.png
1,3.0,-0.04986471310257912__CYGNO_60_40_ER_3_keV_930V_30cm_IDAO_iso_crop_hist_pic_run4_ev148;1.png
1,10.0,-0.04990877956151962__CYGNO_60_40_ER_10_keV_930V_30cm_IDAO_iso_crop_hist_pic_run4_ev143;1.png
1,30.0,-0.05003577470779419__CYGNO_60_40_ER_30_keV_930V_30cm_IDAO_iso_crop_hist_pic_run1_ev235;1.png
1,3.0,-0.051045335829257965__CYGNO_60_40_ER_3_keV_930V_30cm_IDAO_iso_crop_hist_pic_run5_ev404;1.png
1,30.0,-0.05132909119129181__CYGNO_60_40_ER_30_keV_930V_30cm_IDAO_iso_crop_hist_pic_run2_ev409;1.png
1,3.0,-0.051491741091012955__CYGNO_60_40_ER_3_keV_930V_30cm_IDAO_iso_crop_hist_pic_run4_ev630;1.png
1,3.0,-0.05210236832499504__CYGNO_60_40_ER_3_keV_930V_30cm_IDAO_iso_crop_hist_pic_run3_ev223;1.png
1,30.0,-0.05229023098945618__CYGNO_60_40_ER_30_keV_930V_30cm_IDAO_iso_crop_hist_pic_run2_ev204;1.png
1,10.0,-0.05251983180642128__CYGNO_60_40_ER_10_keV_930V_30cm_IDAO_iso_crop_hist_pic_run2_ev450;1.png
1,10.0,-0.05259432643651962__CYGNO_60_40_ER_10_keV_930V_30cm_IDAO_iso_crop_hist_pic_run3_ev215;1.png
1,30.0,-0.052650127559900284__CYGNO_60_40_ER_30_keV_930V_30cm_IDAO_iso_crop_hist_pic_run5_ev971;1.png
1,10.0,-0.0532560758292675__CYGNO_60_40_ER_10_keV_930V_30cm_IDAO_iso_crop_hist_pic_run5_ev571;1.png
1,3.0,-0.05569871887564659__CYGNO_60_40_ER_3_keV_930V_30cm_IDAO_iso_crop_hist_pic_run1_ev887;1.png
1,30.0,-0.055896878242492676__CYGNO_60_40_ER_30_keV_930V_30cm_IDAO_iso_crop_hist_pic_run3_ev576;1.png
1,3.0,-0.05670782923698425__CYGNO_60_40_ER_3_keV_930V_30cm_IDAO_iso_crop_hist_pic_run2_ev625;1.png
1,30.0,-0.05737758427858353__CYGNO_60_40_ER_30_keV_930V_30cm_IDAO_iso_crop_hist_pic_run3_ev221;1.png
1,3.0,-0.05741455778479576__CYGNO_60_40_ER_3_keV_930V_30cm_IDAO_iso_crop_hist_pic_run3_ev850;1.png
1,10.0,-0.05743855983018875__CYGNO_60_40_ER_10_keV_930V_30cm_IDAO_iso_crop_hist_pic_run3_ev107;1.png
1,3.0,-0.05767052620649338__CYGNO_60_40_ER_3_keV_930V_30cm_IDAO_iso_crop_hist_pic_run4_ev771;1.png
1,10.0,-0.05772017687559128__CYGNO_60_40_ER_10_keV_930V_30cm_IDAO_iso_crop_hist_pic_run4_ev466;1.png
1,30.0,-0.05845949053764343__CYGNO_60_40_ER_30_keV_930V_30cm_IDAO_iso_crop_hist_pic_run2_ev375;1.png
1,10.0,-0.05874831974506378__CYGNO_60_40_ER_10_keV_930V_30cm_IDAO_iso_crop_hist_pic_run2_ev361;1.png
1,30.0,-0.05923079699277878__CYGNO_60_40_ER_30_keV_930V_30cm_IDAO_iso_crop_hist_pic_run4_ev165;1.png
1,3.0,-0.05986974015831947__CYGNO_60_40_ER_3_keV_930V_30cm_IDAO_iso_crop_hist_pic_run3_ev109;1.png
1,3.0,-0.061470843851566315__CYGNO_60_40_ER_3_keV_930V_30cm_IDAO_iso_crop_hist_pic_run3_ev195;1.png
1,30.0,-0.062479179352521896__CYGNO_60_40_ER_30_keV_930V_30cm_IDAO_iso_crop_hist_pic_run4_ev160;1.png
1,30.0,-0.06388670206069946__CYGNO_60_40_ER_30_keV_930V_30cm_IDAO_iso_crop_hist_pic_run2_ev293;1.png
1,3.0,-0.06498327106237411__CYGNO_60_40_ER_3_keV_930V_30cm_IDAO_iso_crop_hist_pic_run2_ev806;1.png
1,30.0,-0.0655088722705841__CYGNO_60_40_ER_30_keV_930V_30cm_IDAO_iso_crop_hist_pic_run5_ev261;1.png
1,10.0,-0.06632594764232635__CYGNO_60_40_ER_10_keV_930V_30cm_IDAO_iso_crop_hist_pic_run3_ev167;1.png
1,3.0,-0.06632722169160843__CYGNO_60_40_ER_3_keV_930V_30cm_IDAO_iso_crop_hist_pic_run5_ev535;1.png
1,10.0,-0.06670303642749786__CYGNO_60_40_ER_10_keV_930V_30cm_IDAO_iso_crop_hist_pic_run1_ev959;1.png
1,3.0,-0.06680672615766525__CYGNO_60_40_ER_3_keV_930V_30cm_IDAO_iso_crop_hist_pic_run4_ev217;1.png
1,10.0,-0.06793636083602905__CYGNO_60_40_ER_10_keV_930V_30cm_IDAO_iso_crop_hist_pic_run5_ev450;1.png
1,10.0,-0.06901255995035172__CYGNO_60_40_ER_10_keV_930V_30cm_IDAO_iso_crop_hist_pic_run5_ev279;1.png
1,30.0,-0.06922245025634766__CYGNO_60_40_ER_30_keV_930V_30cm_IDAO_iso_crop_hist_pic_run1_ev865;1.png
1,3.0,-0.06922347843647003__CYGNO_60_40_ER_3_keV_930V_30cm_IDAO_iso_crop_hist_pic_run5_ev311;1.png
1,3.0,-0.06929966062307358__CYGNO_60_40_ER_3_keV_930V_30cm_IDAO_iso_crop_hist_pic_run1_ev202;1.png
1,30.0,-0.06943664699792862__CYGNO_60_40_ER_30_keV_930V_30cm_IDAO_iso_crop_hist_pic_run1_ev841;1.png
1,10.0,-0.07057800143957138__CYGNO_60_40_ER_10_keV_930V_30cm_IDAO_iso_crop_hist_pic_run1_ev131;1.png
1,10.0,-0.07089245319366455__CYGNO_60_40_ER_10_keV_930V_30cm_IDAO_iso_crop_hist_pic_run5_ev685;1.png
1,3.0,-0.0729246437549591__CYGNO_60_40_ER_3_keV_930V_30cm_IDAO_iso_crop_hist_pic_run4_ev175;1.png
1,30.0,-0.07296301424503326__CYGNO_60_40_ER_30_keV_930V_30cm_IDAO_iso_crop_hist_pic_run3_ev861;1.png
1,3.0,-0.07304535061120987__CYGNO_60_40_ER_3_keV_930V_30cm_IDAO_iso_crop_hist_pic_run1_ev601;1.png
1,10.0,-0.07312636077404022__CYGNO_60_40_ER_10_keV_930V_30cm_IDAO_iso_crop_hist_pic_run5_ev470;1.png
1,3.0,-0.07353426516056061__CYGNO_60_40_ER_3_keV_930V_30cm_IDAO_iso_crop_hist_pic_run2_ev514;1.png
1,3.0,-0.07409637421369553__CYGNO_60_40_ER_3_keV_930V_30cm_IDAO_iso_crop_hist_pic_run3_ev448;1.png
1,30.0,-0.07464376091957092__CYGNO_60_40_ER_30_keV_930V_30cm_IDAO_iso_crop_hist_pic_run2_ev374;1.png
1,10.0,-0.07491917163133621__CYGNO_60_40_ER_10_keV_930V_30cm_IDAO_iso_crop_hist_pic_run2_ev308;1.png
1,3.0,-0.07523453235626221__CYGNO_60_40_ER_3_keV_930V_30cm_IDAO_iso_crop_hist_pic_run5_ev868;1.png
1,3.0,-0.07525379210710526__CYGNO_60_40_ER_3_keV_930V_30cm_IDAO_iso_crop_hist_pic_run4_ev402;1.png
1,10.0,-0.07530076801776886__CYGNO_60_40_ER_10_keV_930V_30cm_IDAO_iso_crop_hist_pic_run3_ev636;1.png
1,10.0,-0.07595943659543991__CYGNO_60_40_ER_10_keV_930V_30cm_IDAO_iso_crop_hist_pic_run2_ev389;1.png
1,10.0,-0.07662969082593918__CYGNO_60_40_ER_10_keV_930V_30cm_IDAO_iso_crop_hist_pic_run2_ev962;1.png
1,30.0,-0.07699897885322571__CYGNO_60_40_ER_30_keV_930V_30cm_IDAO_iso_crop_hist_pic_run5_ev304;1.png
1,10.0,-0.07736095786094666__CYGNO_60_40_ER_10_keV_930V_30cm_IDAO_iso_crop_hist_pic_run2_ev907;1.png
1,30.0,-0.07786928117275238__CYGNO_60_40_ER_30_keV_930V_30cm_IDAO_iso_crop_hist_pic_run5_ev813;1.png
1,3.0,-0.07795680314302444__CYGNO_60_40_ER_3_keV_930V_30cm_IDAO_iso_crop_hist_pic_run1_ev489;1.png
1,30.0,-0.07887906581163406__CYGNO_60_40_ER_30_keV_930V_30cm_IDAO_iso_crop_hist_pic_run5_ev646;1.png
1,10.0,-0.07892299443483353__CYGNO_60_40_ER_10_keV_930V_30cm_IDAO_iso_crop_hist_pic_run2_ev800;1.png
1,3.0,-0.08020313829183578__CYGNO_60_40_ER_3_keV_930V_30cm_IDAO_iso_crop_hist_pic_run1_ev691;1.png
1,3.0,-0.08031675964593887__CYGNO_60_40_ER_3_keV_930V_30cm_IDAO_iso_crop_hist_pic_run5_ev342;1.png
1,30.0,-0.08095847070217133__CYGNO_60_40_ER_30_keV_930V_30cm_IDAO_iso_crop_hist_pic_run3_ev965;1.png
1,3.0,-0.08100643008947372__CYGNO_60_40_ER_3_keV_930V_30cm_IDAO_iso_crop_hist_pic_run3_ev494;1.png
1,10.0,-0.08103843033313751__CYGNO_60_40_ER_10_keV_930V_30cm_IDAO_iso_crop_hist_pic_run1_ev644;1.png
1,30.0,-0.08248533308506012__CYGNO_60_40_ER_30_keV_930V_30cm_IDAO_iso_crop_hist_pic_run4_ev641;1.png
1,3.0,-0.0827922448515892__CYGNO_60_40_ER_3_keV_930V_30cm_IDAO_iso_crop_hist_pic_run1_ev588;1.png
1,3.0,-0.08353423327207565__CYGNO_60_40_ER_3_keV_930V_30cm_IDAO_iso_crop_hist_pic_run1_ev112;1.png
1,3.0,-0.08378776907920837__CYGNO_60_40_ER_3_keV_930V_30cm_IDAO_iso_crop_hist_pic_run2_ev728;1.png
1,30.0,-0.08408360183238983__CYGNO_60_40_ER_30_keV_930V_30cm_IDAO_iso_crop_hist_pic_run4_ev544;1.png
1,10.0,-0.08465485274791718__CYGNO_60_40_ER_10_keV_930V_30cm_IDAO_iso_crop_hist_pic_run4_ev321;1.png
1,10.0,-0.08585407584905624__CYGNO_60_40_ER_10_keV_930V_30cm_IDAO_iso_crop_hist_pic_run5_ev896;1.png
1,10.0,-0.08639663457870483__CYGNO_60_40_ER_10_keV_930V_30cm_IDAO_iso_crop_hist_pic_run3_ev281;1.png
1,3.0,-0.08649684488773346__CYGNO_60_40_ER_3_keV_930V_30cm_IDAO_iso_crop_hist_pic_run4_ev793;1.png
1,10.0,-0.087193563580513__CYGNO_60_40_ER_10_keV_930V_30cm_IDAO_iso_crop_hist_pic_run5_ev514;1.png
1,30.0,-0.08728378266096115__CYGNO_60_40_ER_30_keV_930V_30cm_IDAO_iso_crop_hist_pic_run3_ev492;1.png
1,30.0,-0.08792953193187714__CYGNO_60_40_ER_30_keV_930V_30cm_IDAO_iso_crop_hist_pic_run4_ev304;1.png
1,3.0,-0.08805355429649353__CYGNO_60_40_ER_3_keV_930V_30cm_IDAO_iso_crop_hist_pic_run1_ev464;1.png
1,3.0,-0.08827071636915207__CYGNO_60_40_ER_3_keV_930V_30cm_IDAO_iso_crop_hist_pic_run2_ev943;1.png
1,30.0,-0.08839565515518188__CYGNO_60_40_ER_30_keV_930V_30cm_IDAO_iso_crop_hist_pic_run2_ev902;1.png
1,10.0,-0.08988781273365021__CYGNO_60_40_ER_10_keV_930V_30cm_IDAO_iso_crop_hist_pic_run1_ev478;1.png
1,10.0,-0.09006256610155106__CYGNO_60_40_ER_10_keV_930V_30cm_IDAO_iso_crop_hist_pic_run4_ev991;1.png
1,30.0,-0.09031712263822556__CYGNO_60_40_ER_30_keV_930V_30cm_IDAO_iso_crop_hist_pic_run2_ev685;1.png
1,3.0,-0.09037620574235916__CYGNO_60_40_ER_3_keV_930V_30cm_IDAO_iso_crop_hist_pic_run4_ev410;1.png
1,3.0,-0.0904821902513504__CYGNO_60_40_ER_3_keV_930V_30cm_IDAO_iso_crop_hist_pic_run1_ev804;1.png
1,30.0,-0.09058976173400879__CYGNO_60_40_ER_30_keV_930V_30cm_IDAO_iso_crop_hist_pic_run1_ev256;1.png
1,30.0,-0.09082604199647903__CYGNO_60_40_ER_30_keV_930V_30cm_IDAO_iso_crop_hist_pic_run3_ev354;1.png
1,30.0,-0.09118248522281647__CYGNO_60_40_ER_30_keV_930V_30cm_IDAO_iso_crop_hist_pic_run3_ev351;1.png
1,30.0,-0.09167008846998215__CYGNO_60_40_ER_30_keV_930V_30cm_IDAO_iso_crop_hist_pic_run1_ev675;1.png
1,10.0,-0.09175963699817657__CYGNO_60_40_ER_10_keV_930V_30cm_IDAO_iso_crop_hist_pic_run2_ev470;1.png
1,10.0,-0.0918494313955307__CYGNO_60_40_ER_10_keV_930V_30cm_IDAO_iso_crop_hist_pic_run3_ev147;1.png
1,30.0,-0.09184989333152771__CYGNO_60_40_ER_30_keV_930V_30cm_IDAO_iso_crop_hist_pic_run4_ev711;1.png
1,10.0,-0.09190995991230011__CYGNO_60_40_ER_10_keV_930V_30cm_IDAO_iso_crop_hist_pic_run2_ev630;1.png
1,30.0,-0.09286168217658997__CYGNO_60_40_ER_30_keV_930V_30cm_IDAO_iso_crop_hist_pic_run5_ev723;1.png
1,3.0,-0.09360936284065247__CYGNO_60_40_ER_3_keV_930V_30cm_IDAO_iso_crop_hist_pic_run5_ev183;1.png
1,10.0,-0.09375058114528656__CYGNO_60_40_ER_10_keV_930V_30cm_IDAO_iso_crop_hist_pic_run5_ev828;1.png
1,30.0,-0.09376208484172821__CYGNO_60_40_ER_30_keV_930V_30cm_IDAO_iso_crop_hist_pic_run5_ev503;1.png
1,10.0,-0.09408820420503616__CYGNO_60_40_ER_10_keV_930V_30cm_IDAO_iso_crop_hist_pic_run1_ev906;1.png
1,10.0,-0.0942259207367897__CYGNO_60_40_ER_10_keV_930V_30cm_IDAO_iso_crop_hist_pic_run2_ev136;1.png
1,3.0,-0.09445203840732574__CYGNO_60_40_ER_3_keV_930V_30cm_IDAO_iso_crop_hist_pic_run3_ev434;1.png
1,10.0,-0.09490730613470078__CYGNO_60_40_ER_10_keV_930V_30cm_IDAO_iso_crop_hist_pic_run1_ev756;1.png
1,30.0,-0.09566758573055267__CYGNO_60_40_ER_30_keV_930V_30cm_IDAO_iso_crop_hist_pic_run1_ev546;1.png
1,30.0,-0.09572148323059082__CYGNO_60_40_ER_30_keV_930V_30cm_IDAO_iso_crop_hist_pic_run3_ev993;1.png
1,30.0,-0.09584836661815643__CYGNO_60_40_ER_30_keV_930V_30cm_IDAO_iso_crop_hist_pic_run2_ev744;1.png
1,3.0,-0.0961521714925766__CYGNO_60_40_ER_3_keV_930V_30cm_IDAO_iso_crop_hist_pic_run4_ev486;1.png
1,30.0,-0.09657866507768631__CYGNO_60_40_ER_30_keV_930V_30cm_IDAO_iso_crop_hist_pic_run5_ev608;1.png
1,3.0,-0.09708698093891144__CYGNO_60_40_ER_3_keV_930V_30cm_IDAO_iso_crop_hist_pic_run1_ev906;1.png
1,3.0,-0.09733518958091736__CYGNO_60_40_ER_3_keV_930V_30cm_IDAO_iso_crop_hist_pic_run4_ev998;1.png
1,3.0,-0.09749828279018402__CYGNO_60_40_ER_3_keV_930V_30cm_IDAO_iso_crop_hist_pic_run4_ev168;1.png
